Data,IPEDS ID,Year,NCAA Subdivision,FBS Conference,Total Expenses,Medical,Recruiting,Game Expenses and Travel,Coaches Compensation,Athletic Student Aid,Total Revenues,"Corporate Sponsorship, Advertising, Licensing",Donor Contributions,Competition Guarantees,Ticket Sales
Middle Tennessee State University,220978,2007,Football Bowl Subdivision,Sun Belt Conference,"19,621,497","455,103","355,424","2,467,862","2,839,871","5,200,354","19,621,497","802,561","674,026","2,030,000","1,128,354"
Middle Tennessee State University,220978,2008,Football Bowl Subdivision,Sun Belt Conference,"19,656,265","396,544","395,905","2,279,176","2,790,104","5,673,687","19,656,265","581,447","777,421","1,100,000","1,266,695"
Middle Tennessee State University,220978,2009,Football Bowl Subdivision,Sun Belt Conference,"19,441,095","393,451","341,342","2,292,949","2,790,999","5,673,738","19,441,095","724,121","95,921","1,397,500","1,433,154"
Middle Tennessee State University,220978,2010,Football Bowl Subdivision,Sun Belt Conference,"20,800,017","403,169","343,555","2,596,975","3,033,408","6,588,195","20,800,017","907,035","186,771","1,106,520","1,467,858"
Middle Tennessee State University,220978,2011,Football Bowl Subdivision,Sun Belt Conference,"24,328,234","418,309","374,968","2,408,783","3,636,546","7,232,421","27,125,185","990,183","3,943,434","726,441","1,273,144"
Middle Tennessee State University,220978,2012,Football Bowl Subdivision,Sun Belt Conference,"26,450,723","391,959","461,962","2,569,345","4,020,851","7,252,384","26,555,473","1,066,788","1,602,122","1,912,000","1,313,648"
Middle Tennessee State University,220978,2013,Football Bowl Subdivision,Sun Belt Conference,"28,716,516","352,643","490,426","2,639,947","4,466,197","7,439,166","27,667,552","1,297,255","2,120,733","1,715,000","1,144,309"
Middle Tennessee State University,220978,2014,Football Bowl Subdivision,Conference USA,"29,036,660","322,029","454,807","3,734,347","5,144,279","7,804,071","30,410,530","1,456,847","2,670,172","1,032,500","1,384,428"
Middle Tennessee State University,220978,2015,Football Bowl Subdivision,Conference USA,"31,671,166","383,153","489,915","3,543,924","5,328,810","8,573,566","31,671,166","1,593,362","4,433,074","1,068,500","1,481,486"
Middle Tennessee State University,220978,2016,Football Bowl Subdivision,Conference USA,"32,412,731","445,337","531,346","4,305,679","5,796,893","9,185,534","32,412,731","1,560,244","2,513,785","2,556,000","1,620,498"
Middle Tennessee State University,220978,2017,Football Bowl Subdivision,Conference USA,"34,040,334","451,017","525,423","4,932,978","5,844,226","8,920,117","34,040,334","1,948,575","2,083,814","1,353,000","1,434,096"
Middle Tennessee State University,220978,2018,Football Bowl Subdivision,Conference USA,"35,353,956","482,703","509,279","3,824,581","6,368,197","9,397,637","35,353,956","1,857,694","2,143,996","1,156,000","1,689,824"
Mississippi State University,176080,2005,Football Bowl Subdivision,Southeastern Conference,"25,273,465","544,290","507,209","2,103,847","5,443,212","4,094,322","25,502,594","425,574","6,917,703","544,028","6,416,035"
Mississippi State University,176080,2006,Football Bowl Subdivision,Southeastern Conference,"25,796,264","616,879","550,843","2,333,689","5,696,436","4,414,223","25,838,681","417,978","2,109,765","611,686","6,674,951"
Mississippi State University,176080,2007,Football Bowl Subdivision,Southeastern Conference,"27,542,758","495,946","587,924","2,602,229","5,851,071","4,913,949","27,549,532","315,000","3,124,080","240,001","6,880,413"
Mississippi State University,176080,2008,Football Bowl Subdivision,Southeastern Conference,"30,432,972","523,049","614,077","2,902,331","7,031,803","5,553,147","30,440,090","300,915","1,931,025","612,000","8,750,189"
Mississippi State University,176080,2009,Football Bowl Subdivision,Southeastern Conference,"36,703,582","491,770","662,642","2,765,285","8,438,788","6,079,440","36,772,199","302,655","6,383,579","166,000","7,600,163"
Mississippi State University,176080,2010,Football Bowl Subdivision,Southeastern Conference,"36,265,186","834,251","624,798","3,230,521","8,647,434","5,940,118","38,127,591","67,123",0,"425,415","10,776,417"
Mississippi State University,176080,2011,Football Bowl Subdivision,Southeastern Conference,"51,588,743","732,531","723,219","3,966,882","10,102,271","6,175,694","58,981,769","689,722","16,332,138","393,208","10,358,803"
Mississippi State University,176080,2012,Football Bowl Subdivision,Southeastern Conference,"67,926,160","692,632","1,045,643","5,768,533","10,680,641","6,469,834","69,828,880","337,896","24,030,641","473,000","11,330,142"
Mississippi State University,176080,2013,Football Bowl Subdivision,Southeastern Conference,"57,362,224","1,045,297","1,098,984","6,517,529","10,996,665","6,500,862","62,764,025","840,852","16,868,035","243,500","11,442,447"
Mississippi State University,176080,2014,Football Bowl Subdivision,Southeastern Conference,"54,388,802","885,414","1,042,841","7,039,336","11,825,452","7,208,008","62,275,111","997,186","13,942,877","1,554,700","12,461,331"
Mississippi State University,176080,2015,Football Bowl Subdivision,Southeastern Conference,"69,493,395","907,512","1,139,415","7,665,359","14,579,392","7,698,919","75,400,407","6,706,093","16,725,344","192,500","14,646,395"
Mississippi State University,176080,2016,Football Bowl Subdivision,Southeastern Conference,"87,641,937","1,002,597","1,269,731","9,684,921","18,117,062","8,924,354","94,903,405","6,590,453","23,136,962","297,797","16,024,676"
Mississippi State University,176080,2017,Football Bowl Subdivision,Southeastern Conference,"88,138,943","968,329","1,327,821","11,575,431","16,974,007","9,722,730","100,062,237","6,782,116","25,035,952","642,500","15,782,114"
Mississippi State University,176080,2018,Football Bowl Subdivision,Southeastern Conference,"93,573,141","899,810","1,353,555","12,638,092","17,824,878","9,766,661","103,858,865","7,479,951","23,888,969","58,500","16,841,841"
New Mexico State University,188030,2005,Football Bowl Subdivision,Western Athletic Conference,"12,643,034","469,644","230,282","1,762,180","2,717,695","1,972,312","12,856,716","711,384","1,409,625","861,000","1,029,077"
New Mexico State University,188030,2006,Football Bowl Subdivision,Western Athletic Conference,"16,844,756","605,211","358,839","2,403,195","3,256,060","2,401,749","18,550,016","737,757","1,455,064","435,500","1,963,416"
New Mexico State University,188030,2007,Football Bowl Subdivision,Western Athletic Conference,"21,793,202","495,801","453,117","3,300,308","3,500,087","3,755,188","16,953,694","1,074,453","2,133,876","111,619","2,504,167"
New Mexico State University,188030,2008,Football Bowl Subdivision,Western Athletic Conference,"28,298,002","451,178","527,864","3,331,121","3,548,860","5,115,846","25,379,586","1,770,844","2,964,509","977,567","1,793,167"
New Mexico State University,188030,2009,Football Bowl Subdivision,Western Athletic Conference,"28,791,357","445,855","372,202","3,496,039","3,720,739","5,276,779","26,896,469","1,396,423","4,498,532","1,160,000","1,666,634"
New Mexico State University,188030,2010,Football Bowl Subdivision,Western Athletic Conference,"26,994,899","492,190","423,093","3,086,584","3,844,118","5,514,325","25,433,613","2,651,586","836,961","1,120,000","1,719,191"
New Mexico State University,188030,2011,Football Bowl Subdivision,Western Athletic Conference,"25,782,307","485,224","411,906","2,899,796","3,854,646","6,010,050","26,997,597","2,414,076","883,239","754,000","1,771,334"
New Mexico State University,188030,2012,Football Bowl Subdivision,Western Athletic Conference,"27,426,388","477,799","473,745","3,802,506","4,029,141","6,075,965","28,559,494","2,049,370","1,352,361","2,012,000","1,722,689"
New Mexico State University,188030,2013,Football Bowl Subdivision,Western Athletic Conference,"28,484,118","517,292","417,975","3,344,842","4,253,267","6,483,197","30,105,460","2,342,125","856,224","1,180,000","1,317,495"
New Mexico State University,188030,2014,Football Bowl Subdivision,Independent,"29,513,451","535,840","432,394","3,302,791","4,494,653","6,599,006","29,287,917","2,380,071","1,035,973","2,054,500","1,559,403"
New Mexico State University,188030,2015,Football Bowl Subdivision,Sun Belt Conference,"26,874,116","632,661","378,313","3,818,122","4,757,581","6,715,742","26,986,841","2,020,450","1,297,228","1,604,447","1,293,057"
New Mexico State University,188030,2016,Football Bowl Subdivision,Sun Belt Conference,"27,077,217","686,181","366,356","3,935,346","4,661,797","7,049,963","26,505,116","1,052,353","1,326,708","2,083,000","1,452,170"
New Mexico State University,188030,2017,Football Bowl Subdivision,Sun Belt Conference,"23,507,513","550,403","339,715","3,578,763","4,286,967","6,778,906","26,114,479","1,180,927","852,696","2,968,064","1,221,025"
New Mexico State University,188030,2018,Football Bowl Subdivision,Sun Belt Conference,"25,693,309","565,325","401,687","3,998,485","4,417,811","7,673,915","26,320,230","947,219","1,421,285","2,305,600","1,636,361"
North Carolina State University at Raleigh,199193,2005,Football Bowl Subdivision,Atlantic Coast Conference,"37,048,794","427,488","790,766","3,809,094","4,854,635","5,908,478","35,793,670","287,500","5,908,478","411,840","12,972,438"
North Carolina State University at Raleigh,199193,2006,Football Bowl Subdivision,Atlantic Coast Conference,"42,463,462","595,625","819,789","4,328,137","5,540,702","6,404,583","45,836,095","154,950","7,719,365","50,115","16,855,670"
North Carolina State University at Raleigh,199193,2007,Football Bowl Subdivision,Atlantic Coast Conference,"43,294,143","605,171","802,433","5,163,411","6,626,758","6,238,485","47,830,440","160,220","9,260,107","252,000","16,858,492"
North Carolina State University at Raleigh,199193,2008,Football Bowl Subdivision,Atlantic Coast Conference,"43,892,285","591,110","820,990","5,363,486","7,061,027","5,804,074","45,632,223","164,225","6,306,023","201,000","18,081,143"
North Carolina State University at Raleigh,199193,2009,Football Bowl Subdivision,Atlantic Coast Conference,"48,349,169","578,464","894,526","6,181,672","7,447,893","7,541,852","50,586,947","209,799","7,802,804","243,500","18,296,826"
North Carolina State University at Raleigh,199193,2010,Football Bowl Subdivision,Atlantic Coast Conference,"45,880,314","668,335","832,754","5,602,736","8,847,328","7,481,209","49,459,002","221,045","7,004,157","35,000","18,398,410"
North Carolina State University at Raleigh,199193,2011,Football Bowl Subdivision,Atlantic Coast Conference,"50,560,564","641,600","929,443","6,359,960","9,944,023","8,074,335","51,076,345","216,713","10,102,474","520,000","20,810,758"
North Carolina State University at Raleigh,199193,2012,Football Bowl Subdivision,Atlantic Coast Conference,"56,332,313","624,797","1,196,820","6,990,303","11,784,770","8,260,486","59,757,911","482,591","10,710,592","200,000","18,237,979"
North Carolina State University at Raleigh,199193,2013,Football Bowl Subdivision,Atlantic Coast Conference,"63,137,393","735,147","1,379,431","7,153,677","14,950,202","8,747,297","67,481,639","2,118,871","10,570,589","400,000","19,730,883"
North Carolina State University at Raleigh,199193,2014,Football Bowl Subdivision,Atlantic Coast Conference,"63,958,569","725,239","1,501,653","7,372,687","14,395,344","9,133,726","70,500,811","2,161,173","10,824,170","100,000","20,952,442"
North Carolina State University at Raleigh,199193,2015,Football Bowl Subdivision,Atlantic Coast Conference,"73,074,396","856,203","1,730,543","8,414,767","15,860,162","10,217,672","76,834,603","2,237,669","13,936,125","250,000","18,947,413"
North Carolina State University at Raleigh,199193,2016,Football Bowl Subdivision,Atlantic Coast Conference,"79,905,724","866,108","1,756,255","10,178,961","16,450,982","11,685,571","80,225,029","2,220,349","15,119,174","200,000","19,017,232"
North Carolina State University at Raleigh,199193,2017,Football Bowl Subdivision,Atlantic Coast Conference,"86,924,779","1,229,551","1,971,283","10,813,718","17,357,592","12,286,299","83,741,572","4,471,440","15,078,662","200,000","21,219,458"
North Carolina State University at Raleigh,199193,2018,Football Bowl Subdivision,Atlantic Coast Conference,"86,756,449","1,433,501","1,781,451","11,446,379","19,025,098","13,151,527","87,976,532","5,114,908","15,005,244","501,521","19,895,564"
Northern Illinois University,147703,2005,Football Bowl Subdivision,Mid-American Conference,"15,208,205","225,466","243,941","1,844,722","2,543,039","3,650,128","15,859,206","232,942","1,268,164","349,250","1,022,586"
Northern Illinois University,147703,2006,Football Bowl Subdivision,Mid-American Conference,"16,670,569","256,150","257,461","1,579,079","2,718,519","4,110,508","17,537,089","736,481","1,019,791","779,938","902,056"
Northern Illinois University,147703,2007,Football Bowl Subdivision,Mid-American Conference,"18,934,750","389,637","254,495","2,064,432","2,934,182","4,321,742","19,400,270","609,995","1,335,269","1,041,750","1,368,752"
Northern Illinois University,147703,2008,Football Bowl Subdivision,Mid-American Conference,"22,448,970","369,301","322,986","2,027,902","3,212,951","4,998,775","23,342,006","755,830","1,226,237","1,142,750","2,215,645"
Northern Illinois University,147703,2009,Football Bowl Subdivision,Mid-American Conference,"23,770,449","381,966","363,899","2,731,246","3,360,240","5,814,784","21,243,679","549,116","1,087,486","963,150","1,016,563"
Northern Illinois University,147703,2010,Football Bowl Subdivision,Mid-American Conference,"21,899,024","449,371","300,306","1,831,363","3,441,145","5,868,058","22,210,800","366,380","1,158,340","1,390,000","908,503"
Northern Illinois University,147703,2011,Football Bowl Subdivision,Mid-American Conference,"22,793,622","322,779","281,373","2,068,622","3,593,287","6,810,435","24,148,602","370,107","1,329,546","1,629,150","864,185"
Northern Illinois University,147703,2012,Football Bowl Subdivision,Mid-American Conference,"23,863,877","331,826","277,076","2,473,191","3,771,354","6,985,935","23,504,505","410,410","1,184,136","371,250","1,824,668"
Northern Illinois University,147703,2013,Football Bowl Subdivision,Mid-American Conference,"25,294,053","395,659","345,384","2,840,730","3,893,092","7,351,372","26,259,284","415,325","1,305,957","416,000","2,203,585"
Northern Illinois University,147703,2014,Football Bowl Subdivision,Mid-American Conference,"26,130,115","417,544","339,327","3,230,786","3,936,014","7,409,545","27,007,054","630,114","1,724,111","1,676,750","1,097,519"
Northern Illinois University,147703,2015,Football Bowl Subdivision,Mid-American Conference,"27,276,559","474,106","371,385","3,409,189","4,078,599","7,690,626","27,634,930","1,155,313","1,807,090","2,034,750","1,296,597"
Northern Illinois University,147703,2016,Football Bowl Subdivision,Mid-American Conference,"28,746,741","516,031","307,988","4,243,931","4,337,202","8,170,595","28,521,887","1,281,020","2,337,593","1,452,464","1,512,089"
Northern Illinois University,147703,2017,Football Bowl Subdivision,Mid-American Conference,"25,661,395","385,398","330,427","3,263,597","4,284,615","7,646,449","25,795,597","1,086,419","1,631,882","1,396,000","836,853"
Northern Illinois University,147703,2018,Football Bowl Subdivision,Mid-American Conference,"25,821,426","620,147","323,571","3,429,372","4,454,238","7,683,032","25,856,400","1,033,925","2,013,521","1,489,250","952,604"
Ohio University,204857,2005,Football Bowl Subdivision,Mid-American Conference,"14,986,448","249,798","418,750","1,191,886","2,835,450","4,738,782","14,457,896","470,187","673,989","535,200","583,730"
Ohio University,204857,2006,Football Bowl Subdivision,Mid-American Conference,"16,704,043","312,373","326,595","1,394,954","3,532,752","5,647,363","16,422,486","165,491","787,137","482,500","862,207"
Ohio University,204857,2007,Football Bowl Subdivision,Mid-American Conference,"20,734,683","362,240","323,310","1,505,628","3,842,251","6,061,551","20,070,873","573,613","726,989","1,455,901","718,501"
Ohio University,204857,2008,Football Bowl Subdivision,Mid-American Conference,"20,297,059","462,473","373,953","1,470,683","3,758,356","5,973,051","19,450,560","556,540","686,543","745,300","805,771"
Ohio University,204857,2009,Football Bowl Subdivision,Mid-American Conference,"21,893,603","518,462","406,413","1,649,877","4,210,269","6,222,292","20,092,230","489,200","596,760","1,276,500","740,958"
Ohio University,204857,2010,Football Bowl Subdivision,Mid-American Conference,"22,875,238","478,205","379,958","2,111,600","4,274,001","6,569,858","23,905,953","829,476","630,322","937,300","898,462"
Ohio University,204857,2011,Football Bowl Subdivision,Mid-American Conference,"22,841,117","420,121","429,217","2,008,204","4,098,007","6,359,849","25,470,296","786,076","726,544","900,000","848,470"
Ohio University,204857,2012,Football Bowl Subdivision,Mid-American Conference,"24,408,346","325,604","488,100","2,754,795","4,364,988","6,677,530","28,671,520","930,928","2,007,290","749,500","1,148,918"
Ohio University,204857,2013,Football Bowl Subdivision,Mid-American Conference,"27,027,550","607,423","548,296","2,513,151","5,206,152","7,068,691","27,265,061","1,303,749","2,204,293","1,092,500","1,215,671"
Ohio University,204857,2014,Football Bowl Subdivision,Mid-American Conference,"27,298,719","748,372","523,831","2,545,394","5,365,095","7,174,844","27,720,000","1,357,110","2,337,759","590,000","1,452,846"
Ohio University,204857,2015,Football Bowl Subdivision,Mid-American Conference,"27,110,443","668,971","554,948","2,092,235","5,200,350","7,214,118","28,709,413","1,440,979","3,048,381","700,000","1,220,176"
Ohio University,204857,2016,Football Bowl Subdivision,Mid-American Conference,"31,168,868","581,245","494,426","3,026,759","5,296,218","8,414,621","31,882,732","1,536,599","3,331,622","925,000","1,316,355"
Ohio University,204857,2017,Football Bowl Subdivision,Mid-American Conference,"32,621,410","603,844","616,002","3,168,057","5,551,278","7,987,163","32,234,688","1,618,408","2,084,887","1,100,000","1,181,793"
Ohio University,204857,2018,Football Bowl Subdivision,Mid-American Conference,"35,869,324","642,153","635,731","2,953,691","5,752,243","8,403,029","33,310,037","1,626,955","4,870,290","916,000","1,049,472"
Oklahoma State University,207388,2005,Football Bowl Subdivision,Big 12 Conference,"55,433,091","561,096","529,927","5,000,452","7,721,345","4,520,479","51,250,746","1,275,740","18,016,645","473,157","13,982,295"
Oklahoma State University,207388,2006,Football Bowl Subdivision,Big 12 Conference,"80,300,988","672,161","630,261","4,098,314","7,924,153","5,331,000","241,364,906","1,465,325","211,023,155","226,398","13,538,595"
Oklahoma State University,207388,2007,Football Bowl Subdivision,Big 12 Conference,"66,435,650","1,033,115","623,387","5,572,426","8,182,667","5,956,718","57,521,622","1,580,224","18,915,844","796,710","16,301,284"
Oklahoma State University,207388,2008,Football Bowl Subdivision,Big 12 Conference,"89,801,118","726,304","733,802","5,997,011","9,167,517","6,609,989","98,874,092","1,718,005","54,923,758","755,765","17,528,662"
Oklahoma State University,207388,2009,Football Bowl Subdivision,Big 12 Conference,"75,982,440","732,565","844,706","6,136,656","10,862,599","7,078,204","55,953,397","1,747,888","29,270,695","576,575","20,197,401"
Oklahoma State University,207388,2010,Football Bowl Subdivision,Big 12 Conference,"83,748,207","877,098","584,822","5,600,461","11,986,467","7,148,392","106,362,128","1,427,513","51,877,388","249,975","23,640,296"
Oklahoma State University,207388,2011,Football Bowl Subdivision,Big 12 Conference,"66,937,207","824,558","680,123","5,898,505","12,756,527","7,998,646","82,631,915","1,558,661","26,978,331","488,027","22,672,580"
Oklahoma State University,207388,2012,Football Bowl Subdivision,Big 12 Conference,"96,782,619","759,805","768,670","6,755,644","14,915,056","8,203,924","87,270,598","2,515,771","25,997,402","390,442","23,082,628"
Oklahoma State University,207388,2013,Football Bowl Subdivision,Big 12 Conference,"96,551,860","927,116","830,563","6,747,786","14,529,983","8,548,771","93,664,337","2,491,109","26,714,907","348,918","22,927,357"
Oklahoma State University,207388,2014,Football Bowl Subdivision,Big 12 Conference,"109,648,000","754,562","723,433","7,348,386","15,291,172","9,056,702","117,803,302","2,605,681","37,027,350","2,605,757","23,756,815"
Oklahoma State University,207388,2015,Football Bowl Subdivision,Big 12 Conference,"93,144,396","781,318","1,050,904","8,272,223","15,868,332","9,323,106","95,931,739","3,744,016","21,621,715","3,697,920","21,126,079"
Oklahoma State University,207388,2016,Football Bowl Subdivision,Big 12 Conference,"92,926,534","995,294","891,067","10,880,829","16,751,348","10,196,141","93,672,676","3,857,283","17,931,099","503,179","22,019,465"
Oklahoma State University,207388,2017,Football Bowl Subdivision,Big 12 Conference,"89,833,094","1,219,200","1,018,635","10,853,773","16,285,646","7,371,509","91,644,865","4,691,361","15,573,414","115,256","19,679,074"
Oklahoma State University,207388,2018,Football Bowl Subdivision,Big 12 Conference,"88,228,667","1,374,672","1,817,717","11,214,258","18,373,484","7,456,645","88,516,367","4,773,327","22,286,824","576,668","16,204,830"
Old Dominion University,232982,2005,No Football Subdivision,,"11,119,357","26,846","241,304","1,012,563","2,377,137","2,016,856","12,324,287","90,778","558,501",0,"786,749"
Old Dominion University,232982,2006,No Football Subdivision,,"13,990,585","93,909","317,455","1,071,328","3,000,837","2,314,338","15,035,087","80,649","1,168,064","5,000","900,178"
Old Dominion University,232982,2007,No Football Subdivision,,"17,791,173","97,282","295,506","1,580,249","3,277,241","2,498,384","16,867,013","430,936","1,369,824",0,"1,027,015"
Old Dominion University,232982,2008,No Football Subdivision,,"20,531,677","122,015","384,609","1,514,978","4,133,304","2,798,596","20,964,520","617,363","1,246,424",0,"1,090,936"
Old Dominion University,232982,2009,No Football Subdivision,,"25,520,288","142,611","390,876","1,575,789","4,760,041","3,764,134","27,219,527","194,587","1,655,657","31,800","906,052"
Old Dominion University,232982,2010,Football Championship Subdivision,,"29,048,014","177,989","302,887","2,608,673","4,668,615","4,731,171","32,475,822","410,000","4,442,993","47,635","2,522,114"
Old Dominion University,232982,2011,Football Championship Subdivision,,"30,909,628","192,793","380,549","2,714,511","5,095,111","5,536,190","32,893,744","431,458","3,565,247","27,500","3,012,066"
Old Dominion University,232982,2012,Football Championship Subdivision,,"34,375,037","222,702","536,833","3,062,175","5,579,797","6,597,571","35,247,421","496,594","3,650,714","12,000","3,253,574"
Old Dominion University,232982,2013,Football Championship Subdivision,,"35,561,455","226,209","588,227","3,361,246","5,769,077","6,853,367","36,929,483","688,161","3,806,308","9,500","3,365,856"
Old Dominion University,232982,2014,Football Bowl Subdivision,Conference USA,"41,118,876","344,207","662,114","4,319,866","6,201,965","8,054,581","41,061,440","1,204,868","4,638,049","1,695,065","3,576,261"
Old Dominion University,232982,2015,Football Bowl Subdivision,Conference USA,"42,780,118","269,393","779,822","4,982,349","6,489,313","8,687,098","43,994,715","1,281,354","5,310,592","1,002,500","3,856,010"
Old Dominion University,232982,2016,Football Bowl Subdivision,Conference USA,"43,998,223","377,680","765,414","5,119,077","6,934,101","8,978,226","44,681,935","1,467,666","5,851,095","32,000","4,237,654"
Old Dominion University,232982,2017,Football Bowl Subdivision,Conference USA,"46,181,753","375,093","726,739","5,030,006","7,109,643","9,433,933","46,203,813","1,599,957","5,693,628","929,000","3,526,444"
Old Dominion University,232982,2018,Football Bowl Subdivision,Conference USA,"45,189,213","385,028","805,815","4,870,562","7,347,516","9,678,274","44,271,033","1,605,290","6,956,383","213,337","3,426,427"
Oregon State University,209542,2005,Football Bowl Subdivision,Pacific-12 Conference,"36,106,183","520,478","609,572","5,812,057","5,717,408","6,793,797","37,245,356","1,347,440","13,348,937","1,768,498","6,224,823"
Oregon State University,209542,2006,Football Bowl Subdivision,Pacific-12 Conference,"55,324,993","705,924","798,179","4,817,866","6,590,471","7,089,260","53,601,943","1,334,395","12,596,548","1,489,317","6,995,844"
Oregon State University,209542,2007,Football Bowl Subdivision,Pacific-12 Conference,"54,910,688","756,202","833,277","7,130,134","7,682,656","6,600,658","52,471,427","1,954,097","15,646,473","990,901","8,986,521"
Oregon State University,209542,2008,Football Bowl Subdivision,Pacific-12 Conference,"52,128,314","809,225","720,132","6,541,296","7,710,158","7,360,450","52,875,339","2,453,774","16,614,611","2,029,041","8,469,533"
Oregon State University,209542,2009,Football Bowl Subdivision,Pacific-12 Conference,"54,576,139","698,708","833,232","6,169,118","8,638,795","7,626,316","53,142,889","2,923,147","11,829,544","1,842,309","10,139,347"
Oregon State University,209542,2010,Football Bowl Subdivision,Pacific-12 Conference,"52,669,946","860,200","709,283","4,869,241","8,888,666","7,716,722","55,613,345","3,122,989","16,439,009","2,103,896","9,525,756"
Oregon State University,209542,2011,Football Bowl Subdivision,Pacific-12 Conference,"54,589,335","902,278","790,647","4,640,293","9,536,189","7,921,752","55,544,015","2,911,202","9,535,722","2,278,149","10,389,424"
Oregon State University,209542,2012,Football Bowl Subdivision,Pacific-12 Conference,"57,819,032","1,076,575","912,982","4,785,132","10,073,958","8,455,723","58,706,837","3,338,901","9,816,920","2,252,586","9,541,151"
Oregon State University,209542,2013,Football Bowl Subdivision,Pacific-12 Conference,"64,185,065","1,088,604","1,071,164","7,385,100","11,100,562","8,895,563","65,467,970","2,228,364","12,658,820","531,020","10,909,633"
Oregon State University,209542,2014,Football Bowl Subdivision,Pacific-12 Conference,"73,020,003","1,230,001","1,031,851","6,662,974","11,776,500","9,451,226","63,301,794","3,183,927","10,670,196","340,000","10,080,314"
Oregon State University,209542,2015,Football Bowl Subdivision,Pacific-12 Conference,"72,557,984","618,953","1,607,311","5,456,347","12,921,849","9,514,464","64,876,006","5,418,755","9,817,033","420,574","10,978,823"
Oregon State University,209542,2016,Football Bowl Subdivision,Pacific-12 Conference,"77,667,683","557,481","1,528,605","6,210,912","13,713,772","10,346,712","72,731,247","7,569,802","8,805,109","1,561,614","10,469,199"
Oregon State University,209542,2017,Football Bowl Subdivision,Pacific-12 Conference,"82,730,626","695,842","1,535,651","7,253,478","15,224,305","10,202,271","78,959,875","8,884,197","9,785,111","470,000","13,346,970"
Oregon State University,209542,2018,Football Bowl Subdivision,Pacific-12 Conference,"88,600,330","2,031,214","1,443,224","7,680,769","16,083,039","9,932,095","80,712,000","7,695,860","10,181,730","253,000","11,356,592"
Pennsylvania State University,214777,2005,Football Bowl Subdivision,Big Ten Conference,"60,218,635","1,595,935","936,697","6,368,190","6,616,593","8,080,557","60,785,496","4,618,077","13,733,690","254,000","23,369,904"
Pennsylvania State University,214777,2006,Football Bowl Subdivision,Big Ten Conference,,,,,,,,,,,
Pennsylvania State University,214777,2007,Football Bowl Subdivision,Big Ten Conference,,,,,,,,,,,
Pennsylvania State University,214777,2008,Football Bowl Subdivision,Big Ten Conference,,,,,,,,,,,
Pennsylvania State University,214777,2009,Football Bowl Subdivision,Big Ten Conference,,,,,,,,,,,
Pennsylvania State University,214777,2010,Football Bowl Subdivision,Big Ten Conference,"88,041,921","2,557,712","966,812","9,970,555","11,632,238","12,047,246","106,614,724","5,984,967","20,993,951","5,000","41,836,815"
Pennsylvania State University,214777,2011,Football Bowl Subdivision,Big Ten Conference,"101,336,483","2,427,234","1,147,852","10,424,622","14,098,568","12,289,069","116,118,025","5,517,643","34,286,648","203,000","35,634,458"
Pennsylvania State University,214777,2012,Football Bowl Subdivision,Big Ten Conference,"107,389,258","2,512,253","1,428,050","11,285,041","18,572,357","12,814,311","108,252,281","4,444,416","25,504,557","153,000","34,729,535"
Pennsylvania State University,214777,2013,Football Bowl Subdivision,Big Ten Conference,"110,737,200","2,814,994","1,694,982","9,723,426","20,023,614","14,811,085","104,751,464","5,086,773","24,480,517","241,000","33,395,879"
Pennsylvania State University,214777,2014,Football Bowl Subdivision,Big Ten Conference,"117,440,639","2,935,471","2,453,381","11,227,618","22,746,542","15,216,958","117,590,990","4,890,787","24,169,749","35,500","38,006,892"
Pennsylvania State University,214777,2015,Football Bowl Subdivision,Big Ten Conference,"122,271,407","2,796,208","1,997,753","14,436,458","23,675,506","15,750,323","125,720,619","7,599,351","27,700,192","652,500","37,037,403"
Pennsylvania State University,214777,2016,Football Bowl Subdivision,Big Ten Conference,"129,349,149","2,580,157","2,161,721","16,076,997","24,724,443","18,828,887","132,248,076","12,754,339","26,183,278","269,801","35,188,377"
Pennsylvania State University,214777,2017,Football Bowl Subdivision,Big Ten Conference,"138,724,055","2,150,521","2,464,121","17,947,008","25,458,059","20,084,737","144,017,055","13,772,177","30,779,975","300,000","35,500,704"
Pennsylvania State University,214777,2018,Football Bowl Subdivision,Big Ten Conference,"155,184,697","2,009,560","2,708,778","19,273,512","29,816,321","20,261,209","165,373,214","13,890,649","34,917,579","8,500","38,187,382"
Purdue University,243780,2005,Football Bowl Subdivision,Big Ten Conference,"51,500,109","589,909","727,809","5,180,801","6,568,760","5,989,644","51,325,446","2,241,648","13,724,374","456,950","14,806,753"
Purdue University,243780,2006,Football Bowl Subdivision,Big Ten Conference,"51,826,232","730,609","853,044","4,836,237","6,662,489","6,540,231","51,720,353","2,878,071","13,530,574","397,980","14,308,815"
Purdue University,243780,2007,Football Bowl Subdivision,Big Ten Conference,"55,786,246","949,998","730,457","6,488,266","7,302,411","6,918,469","57,757,409","4,234,348","12,454,805","1,792,300","15,544,705"
Purdue University,243780,2008,Football Bowl Subdivision,Big Ten Conference,"59,217,169","902,449","1,110,998","6,773,554","8,715,227","7,231,660","64,253,784","5,058,518","10,411,973","1,091,710","17,596,957"
Purdue University,243780,2009,Football Bowl Subdivision,Big Ten Conference,"57,707,608","913,297","1,229,240","6,283,422","9,239,526","7,745,956","60,082,091","5,521,793","11,551,725","500,000","17,440,185"
